sku,produit,format,poids_g,prix_demo_cad,prix_detail_cad,prix_gros_cad
AE-AEX-PMA-1KG,Pulpe de madd congelée,Sachet 1 kg,1000,29.99,,
AE-AEX-PMA-500G,Pulpe de madd congelée,Sachet 500 g,500,16.99,,
AE-SNG-ARR-1KG,Arraw,Sachet 1 kg,1000,15.99,,
AE-SNG-ARR-500G,Arraw,Sachet 500 g,500,8.99,,
AE-SNG-BFR-1KG,Bouye-fraise,Sachet 1 kg,1000,28.99,,
AE-SNG-BFR-500G,Bouye-fraise,Sachet 500 g,500,15.99,,
AE-SNG-BIB-1KG,Poudre de bissap blanc,Sachet 1 kg,1000,26.99,,
AE-SNG-BIB-500G,Poudre de bissap blanc,Sachet 500 g,500,14.99,,
AE-SNG-BIR-1KG,Poudre de bissap rouge,Sachet 1 kg,1000,26.99,,
AE-SNG-BIR-500G,Poudre de bissap rouge,Sachet 500 g,500,14.99,,
AE-SNG-BMA-1KG,Bouye-mangue,Sachet 1 kg,1000,28.99,,
AE-SNG-BMA-500G,Bouye-mangue,Sachet 500 g,500,15.99,,
AE-SNG-BME-1KG,Bissap à la menthe,Sachet 1 kg,1000,28.99,,
AE-SNG-BME-500G,Bissap à la menthe,Sachet 500 g,500,15.99,,
AE-SNG-BMS-1KG,Brisure de maïs,Sachet 1 kg,1000,15.99,,
AE-SNG-BMS-500G,Brisure de maïs,Sachet 500 g,500,8.99,,
AE-SNG-BOU-1KG,Poudre de bouye,Sachet 1 kg,1000,26.99,,
AE-SNG-BOU-500G,Poudre de bouye,Sachet 500 g,500,14.99,,
AE-SNG-BSO-1KG,Bouye-solom,Sachet 1 kg,1000,28.99,,
AE-SNG-BSO-500G,Bouye-solom,Sachet 500 g,500,15.99,,
AE-SNG-CAN-1KG,Poudre de cannelle,Sachet 1 kg,1000,32.99,,
AE-SNG-CAN-250G,Poudre de cannelle,Sachet 250 g,250,9.99,,
AE-SNG-CAN-500G,Poudre de cannelle,Sachet 500 g,500,17.99,,
AE-SNG-CANA-100G,Coco ananas,Sachet 100 g,100,5.99,,
AE-SNG-CANA-50G,Coco ananas,Sachet 50 g,50,3.49,,
AE-SNG-CCN-100G,Coco chocolat-noisette,Sachet 100 g,100,5.99,,
AE-SNG-CCN-50G,Coco chocolat-noisette,Sachet 50 g,50,3.49,,
AE-SNG-CFF-100G,Coco fraise-framboise,Sachet 100 g,100,5.99,,
AE-SNG-CFF-50G,Coco fraise-framboise,Sachet 50 g,50,3.49,,
AE-SNG-CGI-100G,Coco gingembre,Sachet 100 g,100,5.99,,
AE-SNG-CGI-50G,Coco gingembre,Sachet 50 g,50,3.49,,
AE-SNG-CLA-100G,Coco au lait,Sachet 100 g,100,5.99,,
AE-SNG-CLA-50G,Coco au lait,Sachet 50 g,50,3.49,,
AE-SNG-CME-100G,Coco menthe,Sachet 100 g,100,5.99,,
